team;rating
FC Cologne;72
Mainz 05;72
Angers;71
Arsenal;74
Monaco;72
Saint-Etienne;72
Aston Villa;73
Atalanta;71
Athletic Club;74
Atletico Madrid;75
Bayer Leverkusen;74
Bologna;72
Borussia Dortmund;74
Borussia M.Gladbach;74
Bournemouth;69
Burnley;67
Cagliari;72
Carpi;71
Cesena;68
Chelsea;76
Chievo;67
Crystal Palace;72
Cordoba;69
Eintracht Frankfurt;72
Elche;70
Empoli;73
Guingamp;70
Troyes;69
Everton;74
Augsburg;73
Barcelona;76
Bayern Munich;81
Ingolstadt;72
Lorient;71
Metz;66
Nantes;72
Schalke 04;71
Fiorentina;72
Frosinone;68
Genoa;72
Getafe;71
GFC Ajaccio;68
Bordeaux;71
Granada;70
Hamburger SV;72
Hannover 96;71
Verona;69
Hertha Berlin;69
Hull;70
Inter;75
Juventus;72
Lazio;74
Leicester;72
Levante;72
Liverpool;75
Lille;72
Manchester City;77
Manchester United;73
AC Milan;74
Montpellier;69
Malaga;74
Napoli;70
Newcastle United;69
Norwich;73
Nice;71
Marseille;73
Lyon;75
Palermo;71
Paris Saint Germain;77
Parma;70
Queens Park Rangers;72
Rayo Vallecano;70
Celta Vigo;75
Deportivo La Coruna;69
Lens;69
Espanyol;72
Real Betis;71
Real Madrid;76
Real Sociedad;72
Sporting de Gijón;73
Roma;75
Sampdoria;74
Sassuolo;71
SC Bastia;71
Freiburg;69
Paderborn;71
Eibar;71
Sevilla;73
Caen;70
Southampton;74
Reims;71
Stoke;72
Sunderland;68
Darmstadt;70
Werder Bremen;71
Swansea;72
Torino;74
Tottenham;76
Toulouse;70
Hoffenheim;73
Almeria;71
Las Palmas;70
Udinese;73
Valencia;73
VfB Stuttgart;73
Wolfsburg;72
Villarreal;69
Watford;73
West Bromwich Albion;73
West Ham;74
Evian Thonon Gaillard;69
Rennes;71
